15,Creative,128217,10059,10059,Alejandro McAlpine,63,71218
10,Integration,1.20857e+06,12000,12000,Alex Dalas,55,54000
14,Product Support,505467,12010,12010,Sergio Ravarez,55,64000
8,Sales,1.2726e+06,12016,12016,Benjamin Horne,44,137444
6,Business Developement,200000,12016,12016,Benjamin Horne,44,137444
9,Quality Assurance,1.1542e+06,12020,12020,Antonio Lavante,34,36000
2,Human Resources,1.1744e+06,12110,12110,Rodney Ferreri,37,99000
12,Marketing,1.20852e+06,110388,110388,Audrey Horne,27,122402
5,Customer Service,1.30852e+06,110515,110515,Dale Cooper,32,980000
3,Research,1.54465e+06,110517,110517,Dale Gribble,67,137402
1,Software,1.43912e+06,110517,110517,Dale Gribble,67,137402
4,Hardware,4.2915e+06,111400,111400,Arie Staelin,57,72446
13,IT Support,305531,111692,111692,Tonny Butterworth,62,40000
11,Office Management,153202,120302,120302,Shelly Johnson,43,197402
7,Product Management,1.20852e+06,499398,499398,Hank hill,45,131305
